Property,Category Name,Fans (Latest in Date Range),Post Type,Promoted,Total Actions,Total Actions (Percent Share),Link to Post,Content of Post,Reactions,Comments,Shares,Views,Views (7 Days),Views (28 Days),Views (90 Days),Clicks,Was Live,Branded Content,Branded Content Sponsor,Link to Branded Content Sponsor,Date Published (UTC)
Total,,n/a,,13,"3,843",100.00%,,,"3,063",189,591,"81,525","69,615","79,096","81,388","1,652",,FALSE,n/a,n/a,
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,133,3.46%,https://www.facebook.com/117917151585263/posts/1604541722922791,"Our Big Apple Bog is back at Rockefeller Center & this year we brought back-up – Chef Curtis Stone partnered with our CranMas (Ocean Spray Farmer Grandmas) to help first-time Turkey Day hosts #WinThanksgiving If you weren't able to stop by, check out our story on Instagram to learn more and stay tuned for more fun tomorrow!",112,4,17,0,0,0,0,0,,FALSE,n/a,n/a,2017-11-01T21:07:39+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,Promoted,111,2.89%,https://www.facebook.com/117917151585263/posts/1595170080526622,"Ocean Spray® cranberries may be little, but they pack a BIG nutritional punch! Uniquely, they are naturally lower in sugar than other fruits, making them versatile to eat & use in cooking. That's just one reason we love them so much. Share in the comments one of your reasons. #FNCE",89,10,12,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-22T21:22:10+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,Promoted,109,2.84%,https://www.facebook.com/117917151585263/posts/1576061609104136,#DidYouKnow Ocean Spray is a cooperative owned by over 700 farmer families? Come chat with a few of them at our #cranberrybog on the National Mall at the #CoopFestival today until 4pm & tomorrow 10-4pm to learn more! Visit www.coopfestival.coop for more information #EatMoreCranberries,98,5,6,0,0,0,0,0,,FALSE,n/a,n/a,2017-09-30T14:56:35+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,Promoted,106,2.76%,https://www.facebook.com/117917151585263/posts/1539764386067192,"With ready-to-drink mocktails, the work’s all done—now you have time for a fancy fish garnish. #happierhour http://bit.ly/2v8xM9Y",79,8,19,"4,005","3,538","3,853","4,005",51,,FALSE,n/a,n/a,2017-08-20T11:15:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,Promoted,105,2.73%,https://www.facebook.com/117917151585263/posts/1459482277428737,It's officially sandal season! Try one of these adorable garnishes on your Cranberry Sangria Mocktail! #happierhour http://bit.ly/2qObWGG,62,8,35,"5,848","5,583","5,720","5,835",20,,FALSE,n/a,n/a,2017-07-09T13:30:00+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,97,2.52%,https://www.facebook.com/117917151585263/posts/1594366020607028,We're toasting to #eatright100 and celebrating the Academy of Nutrition and Dietetics’ Centennial with Ocean Spray® Mocktails!,76,9,12,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-21T23:13:11+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,Promoted,94,2.45%,https://www.facebook.com/117917151585263/posts/1493534147356883,Ready for your own tropical paradise? Try Ocean Spray® Mocktails– the taste will take you away #happierhour http://bit.ly/2syQPO6,64,2,28,"4,858","4,518","4,718","4,833",25,,FALSE,n/a,n/a,2017-07-03T15:00:11+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",photo,,92,2.39%,https://www.facebook.com/117917151585263/posts/1577156192328011,We had so much fun transforming America’s backyard into a #cranberrybog - thanks everyone for visiting us at the #CoopFestival and celebrating #CoopMonth #EatMoreCranberries #OceanSprayHarvest #GoCoop,85,0,7,0,0,0,0,0,,FALSE,n/a,n/a,2017-10-01T20:40:37+00:00
Ocean Spray,US*** Consumer Goods - Beverages - Juices / Juice Drinks,"1,661,886",video,Promoted,91,2.37%,https://www.facebook.com/117917151585263/posts/10154903635181711,"ENTER TO WIN! We’re celebrating National Co-operative Month with OUR BIGGEST SWEEPSTAKES EVER! We’ve teamed up with these awesome co-op friends to offer one winner over $5,500 in prizes!
 Click here to enter now: www.cabotcheese.coop/coop-sweeps. One winner will be chosen 11/1/17.
 
 Ace Hardware, Blue Diamond Almonds, Carpet One Floor & Home, Divine Chocolate USA, Lighting One, Ocean Spray, Organic Valley, Simply Organic & Welch's",80,5,6,"11,319","5,361","11,305","11,319",0,,FALSE,n/a,n/a,2017-10-03T16:26:32+00:00
