TICKET_LOCATION_STREET,ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,VIOLATION DESCRIPTION,TIME,DOW
UNIVERSITY ST,6174,6172,6174,6174,6172,6174
LOT 16A - FAC/STAFF LOT,2988,2986,2988,2988,2986,2988
15TH AVE,2698,2697,2698,2698,2697,2698
13TH AVE,1715,1715,1715,1715,1715,1715
LOT 29A - EMU VIS LOT,1283,1283,1283,1283,1283,1283
LOT 17 - HEDCO,1257,1257,1257,1257,1257,1257
LOT 12A - ONYX-LAWRENCE,1141,1141,1141,1141,1141,1141
LOT 15 - JAQUA,902,902,902,902,902,902
LOT 42 - 12TH W OF KIN,856,856,856,856,856,856
LOT 56 - MILLRACE,815,815,815,815,815,815
LOT 36A - CARSON,611,611,611,611,611,611
LOT 18 - EDUCATION,564,564,564,564,564,564
LOT 37 - HAMILTON E,500,500,500,500,500,500
LOT 33 - BEAN EAST,459,459,459,459,459,459
SPENCER VIEW APTS,451,447,451,451,447,451
LOT 19 - HEDCO/CSB,419,419,419,419,419,419
LOT 55 - MOSS ST,414,414,414,414,414,414
LOT 50 - BARNHART,405,404,405,405,404,405
LOT 34E - GLOBAL SCHOLARS,391,391,391,391,391,391
LOT 44 - GRAD VILLAGE,382,382,382,382,382,382
LOT 46 - MOSS CONNECT,328,328,328,328,328,328
LOT 30 - MCCT,325,325,325,325,325,325
LOT 6A - 11TH/KINCAID,275,275,275,275,275,275
LOT 59 - ROMANIA,239,239,239,239,239,239
LOT 3A - AAA AREA,201,201,201,201,201,201
LOT 43 - S LAW SCH,190,190,190,190,190,190
LOT 51 - VILLARD ALY,187,187,187,187,187,187
LOT 36B - STU HEALTH,182,181,182,182,181,182
LOT 2,175,175,175,175,175,175
LOT 5A - FRANK BLVD,172,172,172,172,172,172
LOT 99 - COL. GARAGE,167,167,167,167,167,167
LOT 58 - 1715 FRANKLIN,160,160,160,160,160,160
LOT 10 - LAWRENCE,159,159,159,159,159,159
LOT 16B - STUDENT ONLY,151,151,151,151,151,151
LOT 34C - COLUMBIA ST,145,145,145,145,145,145
LOT 39 - AGATE SOUTH,138,138,138,138,138,138
LOT 40 - HEDCO UNDERGRND,138,138,138,138,138,138
LOT 52 - UOPD EAST,133,133,133,133,133,133
LOT 29D - EMU/ONYX/STR,130,130,130,130,130,130
LOT 12B - ONYX-SCIENCES,127,127,127,127,127,127
LOT 57 - MILLRACE VIS,121,121,121,121,121,121
LOT 38 - AGATE NORTH,120,120,120,120,120,120
12A,109,108,109,109,108,109
LOT 20 - MUSIC/EDU,105,105,105,105,105,105
AUTZEN STADIUM,91,91,91,91,91,91
LOT 22 - S. MUSIC,90,90,90,90,90,90
LOT 3B - MNH,80,80,80,80,80,80
10 - LAWRENCE,66,66,66,66,66,66
LOT 31 - BOWERMAN BLDG,64,64,64,64,64,64
D LOT 2 - CAMPUS OPS,62,62,62,62,62,62
LOT 47 - RANIER,62,60,62,62,60,62
H ACADEMIC EXTENSION,60,60,60,60,60,60
LOT 35 - 17TH/MOSS,56,56,56,56,56,56
LOT 7B - MCKENZIE,56,56,56,56,56,56
F GLOBAL SCHOLARS,49,49,49,49,49,49
LOT 23 - JOHNSON HALL,49,49,49,49,49,49
LOT 53 - FMR ODOT,42,42,42,42,42,42
0,41,29,41,41,29,41
LOT 9 - VILLARD/DEADY,39,39,39,39,39,39
F 18TH & AGATE APTS,38,38,38,38,38,38
BEAN,33,33,33,33,33,33
D LOT 5A,33,33,33,33,33,33
LOT 21 - S. CSB,31,31,31,31,31,31
90,30,30,30,30,30,30
LOT 25 - JSMA,30,30,30,30,30,30
13TH CLOSED,28,28,28,28,28,28
ACADEMIC EXTENSION,28,28,28,28,28,28
LOT 11 - FRIENDLY-ALLEN,28,28,28,28,28,28
12B,27,25,27,27,25,27
HAMILTON NORTH,27,27,27,27,27,27
LOT 26 - GER ANNEX,27,27,27,27,27,27
LOT 1D - BAKER CTR,26,26,26,26,26,26
LOT 29B - EMU LOADDOCK,26,26,26,26,26,26
LOT 5A,26,26,26,26,26,26
COLUMBIA ALLEY,23,23,23,23,23,23
LOT 41 - OUTDOOR PROG,23,23,23,23,23,23
LOT 49 - RILEY,23,23,23,23,23,23
29D,21,20,21,21,20,21
LOT 28 - GERLINGER,21,21,21,21,21,21
ROMANIA,21,21,21,21,21,21
28,20,19,20,20,19,20
AGATE ALLEY,20,20,20,20,20,20
LIBRARY,19,19,19,19,19,19
LOT 8 - MK ARENA,19,19,19,19,19,19
