ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
5/5/16,15:11,$40.00,15TH AVE,NO UO PERMIT,15,Thu
3/31/16,11:08,$0.00,15TH AVE,"PERMIT ISSUED, NOT DISPLAYED",11,Thu
2/8/16,10:45,$40.00,15TH AVE,NO UO PERMIT,10,Mon
2/8/16,10:51,$100.00,15TH AVE,MISUSE OF PERMIT,10,Mon
2/8/16,10:47,$40.00,15TH AVE,NO UO PERMIT,10,Mon
12/10/15,13:44,$20.00,15TH AVE,OVERTIME PAYSTATION,13,Thu
12/10/15,13:40,$20.00,15TH AVE,OVERTIME PAYSTATION,13,Thu
3/7/16,10:17,$20.00,15TH AVE,OVERTIME PAYSTATION,10,Mon
3/7/16,10:21,$20.00,15TH AVE,OVERTIME PAYSTATION,10,Mon
3/7/16,10:25,$40.00,15TH AVE,NO UO PERMIT,10,Mon
12/10/15,13:54,$35.00,15TH AVE,NO PERMIT FOR AREA,13,Thu
1/14/16,14:50,$20.00,15TH AVE,OVERTIME PAYSTATION,14,Thu
1/28/16,10:56,$20.00,15TH AVE,OVERTIME PAYSTATION,10,Thu
1/14/16,14:47,$20.00,15TH AVE,OVERTIME PAYSTATION,14,Thu
1/14/16,14:48,$20.00,15TH AVE,OVERTIME PAYSTATION,14,Thu
2/8/16,10:40,$20.00,15TH AVE,OVERTIME PAYSTATION,10,Mon
2/23/16,11:30,$20.00,15TH AVE,OVERTIME PAYSTATION,11,Tue
4/29/16,16:28,$40.00,15TH AVE,NO UO PERMIT,16,Fri
5/2/16,10:52,$40.00,15TH AVE,NO UO PERMIT,10,Mon
4/29/16,16:31,$40.00,15TH AVE,NO UO PERMIT,16,Fri
5/2/16,11:00,$40.00,15TH AVE,NO UO PERMIT,11,Mon
5/2/16,10:50,$40.00,15TH AVE,NO UO PERMIT,10,Mon
5/5/16,14:59,$40.00,15TH AVE,NO UO PERMIT,14,Thu
4/29/16,16:37,$40.00,15TH AVE,NO UO PERMIT,16,Fri
5/5/16,15:00,$35.00,15TH AVE,NO PERMIT FOR AREA,15,Thu
12/10/15,13:52,$40.00,15TH AVE,NO UO PERMIT,13,Thu
5/6/16,14:32,$40.00,15TH AVE,NO UO PERMIT,14,Fri
5/6/16,14:48,$40.00,15TH AVE,NO UO PERMIT,14,Fri
3/30/16,11:14,$35.00,15TH AVE,NO PERMIT FOR AREA,11,Wed
3/30/16,11:17,$35.00,15TH AVE,NO PERMIT FOR AREA,11,Wed
4/6/16,14:52,$20.00,15TH AVE,OVERTIME PAYSTATION,14,Wed
3/18/16,4:51,$35.00,15TH AVE,NO OVERNIGHT PARKING,4,Fri
4/6/16,14:49,$20.00,15TH AVE,OVERTIME PAYSTATION,14,Wed
3/18/16,4:53,$35.00,15TH AVE,NO OVERNIGHT PARKING,4,Fri
3/18/16,4:54,$35.00,15TH AVE,NO OVERNIGHT PARKING,4,Fri
3/30/16,11:18,$40.00,15TH AVE,NO UO PERMIT,11,Wed
2/3/16,11:41,$20.00,15TH AVE,OVERTIME PAYSTATION,11,Wed
2/3/16,11:45,$20.00,15TH AVE,OVERTIME PAYSTATION,11,Wed
2/24/17,16:28,$35.00,15TH AVE,NO PERMIT FOR AREA,16,Fri
4/6/16,14:54,$20.00,15TH AVE,OVERTIME PAYSTATION,14,Wed
4/6/16,14:57,$20.00,15TH AVE,OVERTIME STREET MTR,14,Wed
1/11/16,10:59,$20.00,15TH AVE,OVERTIME PAYSTATION,10,Mon
1/11/16,11:01,$20.00,15TH AVE,OVERTIME PAYSTATION,11,Mon
1/11/16,11:02,$0.00,15TH AVE,BIKE IMPOUND FEE,11,Mon
3/30/16,11:20,$35.00,15TH AVE,NO PERMIT FOR AREA,11,Wed
2/8/16,10:42,$20.00,15TH AVE,OVERTIME PAYSTATION,10,Mon
2/8/16,10:44,$20.00,15TH AVE,OVERTIME PAYSTATION,10,Mon
1/20/16,11:29,$20.00,15TH AVE,OVERTIME PAYSTATION,11,Wed
2/23/16,11:32,$20.00,15TH AVE,OVERTIME PAYSTATION,11,Tue
2/23/16,11:34,$20.00,15TH AVE,OVERTIME PAYSTATION,11,Tue
12/10/15,13:47,$20.00,15TH AVE,OVERTIME PAYSTATION,13,Thu
3/28/16,11:33,$35.00,15TH AVE,NO PERMIT FOR AREA,11,Mon
3/28/16,11:37,$100.00,15TH AVE,MISUSE OF PERMIT,11,Mon
3/28/16,11:31,$35.00,15TH AVE,NO PERMIT FOR AREA,11,Mon
12/1/15,11:34,$40.00,15TH AVE,NO UO PERMIT,11,Tue
12/10/15,13:48,$20.00,15TH AVE,OVERTIME PAYSTATION,13,Thu
