ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
4/27/16,15:14,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,15,Wed
1/5/16,16:56,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,16,Tue
1/25/16,11:27,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Mon
1/5/16,16:55,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,16,Tue
1/28/16,10:34,$470.00,LOT 12A - ONYX-LAWRENCE,DISABLED SPACE PSTD,10,Thu
12/16/15,13:56,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,13,Wed
11/25/15,10:25,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Wed
2/29/16,10:50,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Mon
3/2/16,11:28,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Wed
12/8/15,10:11,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
12/8/15,10:13,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
12/8/15,10:09,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
5/19/16,16:40,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,16,Thu
10/27/15,16:16,$40.00,LOT 12A - ONYX-LAWRENCE,NO UO PERMIT,16,Tue
5/5/16,16:13,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,16,Thu
5/4/16,12:16,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,12,Wed
3/28/16,11:05,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,11,Mon
2/21/17,10:40,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,10,Tue
2/8/16,14:50,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Mon
5/9/16,13:44,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,13,Mon
3/11/16,14:31,$150.00,LOT 12A - ONYX-LAWRENCE,RESERVE & TOW,14,Fri
3/11/16,14:32,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Fri
1/20/16,14:38,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,14,Wed
3/11/16,15:33,$20.00,LOT 12A - ONYX-LAWRENCE,OVERTIME LOT METER,15,Fri
