ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,TIME,DOW
4/7/16,16:41,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Thu
1/20/16,14:01,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,14,Wed
3/9/16,11:00,$150.00,LOT 17 - HEDCO,RESERVE & TOW,11,Wed
2/8/16,14:31,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",14,Mon
1/20/16,13:55,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,13,Wed
11/17/15,16:33,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Tue
2/8/16,16:14,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
2/8/16,16:10,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Mon
4/27/16,16:27,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
4/27/16,16:49,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Wed
4/27/16,16:35,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
4/27/16,16:36,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
4/27/16,16:37,$40.00,LOT 17 - HEDCO,NO UO PERMIT,16,Wed
4/27/16,16:39,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Wed
4/27/16,16:45,$20.00,LOT 17 - HEDCO,OVERTIME PAYSTATION,16,Wed
4/22/16,14:13,$40.00,LOT 17 - HEDCO,NO UO PERMIT,14,Fri
4/7/16,16:45,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,16,Thu
4/7/16,16:46,$35.00,LOT 17 - HEDCO,NO PERMIT FOR AREA,16,Thu
3/30/16,8:24,$20.00,LOT 17 - HEDCO,OVERTIME LOT METER,8,Wed
3/18/16,4:32,$35.00,LOT 17 - HEDCO,NO OVERNIGHT PARKING,4,Fri
1/7/16,8:04,$10.00,LOT 17 - HEDCO,"PERMIT ISSUED, NOT DISPLAYED",8,Thu
