TIME,ISSUE_DATE,ISSUE_TIME,FINE_AMOUNT,TICKET_LOCATION_STREET,VIOLATION DESCRIPTION,Tickets Issued
1,1,1,1,1,1,1
3,10,10,10,10,10,10
4,32,32,32,32,32,32
7,249,249,249,249,249,249
8,316,316,316,316,316,316
9,288,288,288,288,288,288
10,1453,1453,1453,1453,1453,1453
11,682,682,682,682,682,682
12,166,166,166,166,166,166
13,804,804,804,804,804,804
14,1076,1076,1076,1076,1076,1076
15,322,322,322,322,322,322
16,527,527,527,527,527,527
17,202,202,202,202,202,202
18,4,4,4,4,4,4
19,11,11,11,11,11,11
20,10,10,10,10,10,10
21,10,10,10,10,10,10
22,6,6,6,6,6,6
23,3,3,3,3,3,3
